,CaseID,ActivityID,CompleteTimestamp,case_spend_area_text
113,30,1,15.11.2018-09:39:00,13
114,30,21,16.11.2018-10:32:00,13
115,30,2,26.11.2018-12:08:00,13
116,30,3,05.12.2018-16:41:00,13
117,31,1,17.08.2018-14:35:00,9
118,31,17,27.11.2018-14:42:00,9
119,31,3,28.12.2018-15:26:00,9
120,31,4,03.01.2019-16:11:00,9
121,32,1,26.07.2018-08:49:00,7
122,32,3,06.08.2018-16:48:00,7
123,32,4,09.08.2018-14:28:00,7
124,33,1,30.08.2018-09:49:00,10
125,33,21,30.08.2018-10:03:00,10
126,33,2,03.09.2018-15:57:00,10
127,33,3,14.09.2018-13:05:00,10
128,33,4,07.12.2018-09:06:00,10
129,34,1,18.12.2018-11:39:00,10
130,34,2,14.01.2019-11:22:00,10
131,35,1,03.08.2018-10:37:00,7
132,35,2,06.08.2018-17:43:00,7
133,35,3,05.09.2018-09:30:00,7
134,35,4,28.09.2018-10:28:00,7
135,36,1,06.11.2018-11:18:00,14
136,37,1,08.01.2018-11:50:00,9
137,37,17,02.03.2018-14:31:00,9
138,37,2,02.03.2018-15:23:00,9
139,37,2,02.03.2018-15:23:00,9
140,37,2,02.03.2018-15:24:00,9
141,37,2,02.03.2018-15:24:00,9
142,37,3,23.03.2018-13:13:00,9
143,37,4,26.04.2018-11:11:00,9
144,38,1,10.12.2018-09:42:00,7
145,39,1,11.06.2018-14:57:00,11
146,39,2,06.07.2018-11:01:00,11
147,40,1,10.08.2018-08:08:00,7
148,40,2,29.08.2018-07:40:00,7
149,40,3,02.10.2018-15:10:00,7
150,40,4,04.10.2018-16:50:00,7
151,41,28,22.10.2018-00:00:00,10
152,41,1,22.10.2018-20:23:00,10
153,41,17,23.10.2018-14:38:00,10
154,41,17,26.10.2018-10:59:00,10
155,41,2,31.10.2018-11:01:00,10
156,41,3,02.11.2018-16:45:00,10
157,42,1,30.05.2018-10:34:00,10
158,42,15,04.06.2018-10:22:00,10
159,42,2,20.06.2018-15:54:00,10
160,42,3,22.06.2018-17:43:00,10
161,42,4,04.10.2018-16:48:00,10
162,43,1,14.05.2018-17:58:00,16
163,43,2,25.06.2018-14:46:00,16
164,43,3,25.06.2018-14:49:00,16
165,43,4,30.08.2018-15:35:00,16
166,44,1,29.08.2018-09:52:00,11
167,44,21,29.08.2018-12:59:00,11
168,44,2,12.09.2018-11:15:00,11
169,44,3,27.09.2018-10:53:00,11
170,44,4,07.12.2018-09:06:00,11
171,45,28,28.09.2018-00:00:00,4
172,45,1,28.09.2018-07:49:00,4
173,45,2,02.10.2018-07:18:00,4
174,45,3,15.10.2018-14:24:00,4
175,45,4,08.11.2018-16:45:00,4
176,46,1,27.03.2018-07:43:00,9
177,46,2,03.04.2018-10:37:00,9
178,46,3,17.04.2018-13:24:00,9
179,46,10,29.05.2018-17:15:00,9
180,46,4,31.05.2018-12:33:00,9
181,47,1,11.06.2018-10:18:00,10
182,47,21,11.06.2018-10:45:00,10
183,47,2,12.06.2018-08:29:00,10
184,47,3,13.06.2018-13:18:00,10
185,47,4,30.08.2018-15:38:00,10
186,48,1,29.11.2018-10:24:00,7
187,48,17,14.12.2018-08:47:00,7
188,48,3,09.01.2019-09:29:00,7
189,48,17,14.01.2019-10:53:00,7
190,48,17,14.01.2019-11:36:00,7
191,48,17,14.01.2019-11:36:00,7
192,49,1,30.05.2018-09:03:00,7
193,49,2,01.06.2018-17:37:00,7
194,49,2,01.06.2018-17:37:00,7
195,49,3,23.06.2018-14:27:00,7
196,49,4,26.07.2018-18:07:00,7
197,50,1,05.02.2018-08:01:00,7
198,50,15,05.02.2018-12:56:00,7
199,50,2,06.02.2018-17:32:00,7
200,50,3,22.03.2018-09:07:00,7
201,50,4,05.04.2018-15:50:00,7
202,51,1,15.02.2018-16:35:00,10
203,51,2,07.03.2018-10:26:00,10
204,51,3,17.03.2018-10:39:00,10
205,51,4,28.03.2018-12:39:00,10
206,51,8,28.03.2018-12:39:00,10
207,51,3,28.03.2018-12:40:00,10
208,51,10,28.03.2018-17:00:00,10
209,51,4,09.05.2018-14:11:00,10
210,52,28,07.09.2018-00:00:00,7
211,52,1,07.09.2018-08:04:00,7
212,52,2,13.09.2018-08:32:00,7
213,52,3,08.10.2018-16:04:00,7
214,52,10,19.11.2018-06:03:00,7
215,52,4,22.11.2018-14:53:00,7
216,53,28,08.11.2018-00:00:00,0
217,53,1,08.11.2018-07:57:00,0
218,53,2,09.11.2018-17:34:00,0
219,53,3,14.11.2018-13:29:00,0
220,53,4,07.12.2018-09:04:00,0
221,54,1,17.07.2018-14:57:00,10
222,54,2,07.08.2018-11:23:00,10
223,55,1,01.11.2018-11:41:00,7
224,56,28,12.12.2018-00:00:00,7
225,56,1,12.12.2018-09:05:00,7
226,56,3,24.12.2018-07:30:00,7
227,56,2,02.01.2019-10:50:00,7
228,56,4,10.01.2019-15:45:00,7
229,57,1,04.04.2018-08:26:00,7
230,57,2,19.04.2018-18:47:00,7
231,57,3,30.04.2018-12:24:00,7
232,57,4,24.05.2018-13:35:00,7
233,58,1,09.01.2018-16:59:00,10
234,58,2,22.01.2018-21:01:00,10
235,59,1,05.01.2018-08:35:00,16
236,59,2,18.01.2018-10:25:00,16
237,60,1,23.10.2018-14:42:00,10
238,60,3,15.11.2018-14:54:00,10
239,61,1,13.11.2018-17:23:00,10
240,61,2,27.11.2018-09:44:00,10
241,61,3,28.11.2018-18:01:00,10
242,62,1,22.03.2018-10:31:00,7
243,62,3,03.04.2018-11:58:00,7
244,62,4,26.04.2018-11:15:00,7
245,63,1,06.08.2018-14:53:00,9
246,63,15,06.08.2018-15:14:00,9
247,63,2,07.08.2018-08:20:00,9
248,63,4,04.10.2018-16:49:00,9
249,64,1,29.01.2018-12:01:00,9
250,64,3,06.02.2018-10:51:00,9
251,64,4,22.02.2018-16:17:00,9
252,65,1,25.06.2018-11:28:00,10
253,65,2,03.07.2018-09:53:00,10
254,65,3,18.07.2018-15:47:00,10
255,65,4,09.08.2018-14:29:00,10
256,66,1,30.01.2018-11:41:00,10
257,66,2,15.02.2018-12:01:00,10
258,66,3,16.02.2018-09:08:00,10
259,66,4,07.06.2018-13:10:00,10
260,67,1,16.05.2018-09:28:00,9
261,67,3,24.05.2018-17:00:00,9
262,67,4,01.06.2018-11:41:00,9
263,68,1,01.03.2018-16:06:00,10
264,68,15,13.03.2018-10:28:00,10
265,68,2,14.03.2018-15:42:00,10
266,68,3,15.03.2018-14:51:00,10
267,68,4,28.06.2018-14:04:00,10
268,69,28,13.09.2018-00:00:00,9
269,69,1,13.09.2018-11:33:00,9
270,69,3,19.09.2018-13:29:00,9
271,69,2,20.09.2018-11:04:00,9
272,69,4,27.09.2018-10:27:00,9
273,70,1,13.09.2018-16:38:00,10
274,70,2,26.10.2018-20:55:00,10
275,71,1,22.05.2018-12:04:00,11
276,71,2,31.05.2018-14:23:00,11
277,72,28,21.12.2018-00:00:00,7
278,72,1,21.12.2018-08:42:00,7
279,73,1,30.07.2018-11:33:00,11
280,73,2,30.08.2018-15:02:00,11
281,73,3,03.10.2018-12:23:00,11
282,73,4,26.10.2018-11:01:00,11
283,74,1,23.02.2018-09:39:00,10
284,74,21,23.02.2018-11:00:00,10
285,74,2,27.02.2018-13:24:00,10
286,74,3,01.03.2018-15:03:00,10
287,74,4,26.04.2018-11:14:00,10
288,75,1,25.01.2018-15:24:00,9
289,75,3,09.02.2018-15:30:00,9
290,75,4,05.04.2018-15:50:00,9
291,76,28,30.11.2018-00:00:00,7
292,76,1,30.11.2018-07:20:00,7
293,76,2,04.12.2018-17:32:00,7
294,77,1,12.06.2018-09:18:00,7
295,77,2,14.06.2018-17:37:00,7
296,77,3,29.06.2018-10:10:00,7
297,77,4,05.07.2018-14:12:00,7
298,78,28,30.11.2018-00:00:00,7
299,78,1,30.11.2018-07:50:00,7
300,78,2,03.12.2018-17:37:00,7
301,78,4,07.12.2018-09:09:00,7
302,79,1,20.07.2018-10:38:00,10
303,79,2,06.08.2018-16:59:00,10
304,79,3,09.08.2018-14:11:00,10
305,79,10,13.12.2018-08:03:00,10
306,79,4,13.12.2018-14:08:00,10
307,80,1,16.04.2018-11:14:00,10
308,80,21,16.04.2018-12:34:00,10
309,80,2,24.04.2018-17:28:00,10
310,80,3,26.04.2018-11:41:00,10
311,80,4,05.07.2018-14:12:00,10
312,81,1,31.10.2018-10:03:00,6
313,81,2,20.11.2018-06:21:00,6
314,81,3,20.11.2018-09:43:00,6
315,81,4,07.12.2018-09:07:00,6
316,82,1,27.11.2018-09:53:00,7
317,82,17,20.12.2018-10:49:00,7
318,82,2,20.12.2018-15:13:00,7
319,82,2,20.12.2018-15:52:00,7
320,83,28,27.09.2018-00:00:00,10
321,83,21,28.09.2018-11:54:00,10
322,83,2,05.10.2018-16:23:00,10
323,83,3,11.10.2018-12:26:00,10
324,83,4,29.11.2018-16:15:00,10
325,84,1,19.04.2018-14:19:00,7
326,84,2,09.05.2018-12:19:00,7
327,84,2,09.05.2018-12:22:00,7
328,84,2,09.05.2018-12:26:00,7
329,84,2,09.05.2018-12:28:00,7
330,84,3,25.05.2018-14:26:00,7
331,84,4,28.06.2018-14:03:00,7
332,85,1,05.04.2018-11:12:00,4
333,85,24,05.04.2018-13:45:00,4
334,85,3,06.04.2018-11:31:00,4
335,86,1,25.06.2018-19:25:00,9
336,86,15,03.08.2018-11:16:00,9
337,86,3,30.11.2018-13:12:00,9
338,86,4,07.12.2018-16:19:00,9
339,87,1,15.11.2018-12:13:00,10
340,87,2,19.11.2018-11:20:00,10
341,87,3,21.11.2018-15:51:00,10
342,88,1,13.04.2018-12:50:00,10
343,88,2,27.04.2018-22:04:00,10
344,89,1,30.01.2018-16:48:00,10
345,89,2,07.02.2018-09:55:00,10
346,89,3,15.02.2018-12:39:00,10
347,89,4,29.03.2018-15:07:00,10
348,90,1,09.04.2018-19:42:00,10
349,90,21,10.04.2018-09:30:00,10
350,90,16,10.04.2018-11:18:00,10
351,91,1,17.07.2018-09:11:00,7
352,91,3,19.07.2018-11:03:00,7
353,91,2,20.07.2018-17:42:00,7
354,91,4,26.07.2018-18:06:00,7
355,92,1,14.06.2018-12:11:00,7
356,92,15,06.08.2018-17:02:00,7
357,92,10,06.08.2018-17:42:00,7
358,92,4,30.08.2018-15:39:00,7
359,93,1,13.04.2018-15:45:00,11
360,93,2,11.05.2018-09:38:00,11
361,93,3,16.05.2018-14:09:00,11
362,93,4,09.08.2018-14:28:00,11
363,94,1,02.03.2018-14:59:00,9
364,94,2,06.03.2018-10:41:00,9
365,94,3,17.04.2018-15:53:00,9
366,94,4,09.05.2018-14:12:00,9
367,95,1,28.03.2018-07:52:00,7
368,95,2,30.03.2018-07:10:00,7
369,95,3,30.03.2018-10:29:00,7
370,95,4,19.04.2018-14:46:00,7
371,96,1,31.05.2018-12:54:00,5
372,96,2,31.05.2018-12:55:00,5
373,97,1,26.02.2018-07:35:00,7
374,97,2,01.03.2018-09:10:00,7
375,97,3,07.03.2018-15:55:00,7
376,97,4,29.03.2018-15:06:00,7
377,98,21,24.05.2018-11:59:00,10
378,98,2,30.05.2018-11:01:00,10
379,98,3,31.05.2018-16:46:00,10
380,98,4,30.08.2018-15:38:00,10
381,99,1,08.05.2018-11:30:00,10
382,99,2,16.05.2018-15:09:00,10
383,99,3,23.05.2018-13:48:00,10
384,99,4,05.07.2018-14:11:00,10
385,100,1,15.06.2018-14:40:00,10
386,100,2,11.07.2018-12:34:00,10
387,100,3,11.07.2018-16:26:00,10
388,100,10,24.09.2018-16:10:00,10
389,100,4,28.09.2018-10:26:00,10
390,101,1,25.01.2018-08:59:00,7
391,101,2,29.01.2018-09:29:00,7
392,101,4,08.03.2018-13:22:00,7
393,102,1,05.09.2018-16:26:00,2
394,102,2,11.09.2018-10:55:00,2
395,102,3,09.10.2018-12:58:00,2
396,102,4,08.11.2018-16:44:00,2
397,103,28,10.10.2018-00:00:00,4
398,103,1,10.10.2018-09:48:00,4
399,103,2,25.10.2018-13:45:00,4
400,103,3,30.10.2018-14:40:00,4
401,103,4,07.12.2018-09:06:00,4
402,104,1,04.04.2018-08:26:00,7
403,104,2,19.04.2018-18:47:00,7
404,104,3,30.04.2018-12:24:00,7
405,104,4,24.05.2018-13:35:00,7
406,105,28,16.09.2018-00:00:00,7
407,105,1,17.09.2018-08:31:00,7
408,105,2,19.09.2018-07:32:00,7
409,105,3,13.11.2018-17:47:00,7
410,105,4,15.11.2018-15:35:00,7
411,106,1,30.01.2018-09:06:00,7
412,106,2,02.02.2018-12:51:00,7
413,106,3,19.03.2018-14:50:00,7
414,106,4,26.04.2018-11:13:00,7
415,107,1,26.04.2018-14:47:00,10
416,107,2,15.05.2018-16:31:00,10
417,107,3,18.05.2018-14:04:00,10
418,107,4,06.09.2018-14:06:00,10
419,108,1,12.04.2018-16:09:00,10
420,108,3,31.05.2018-14:30:00,10
421,108,2,01.06.2018-13:47:00,10
422,108,7,01.06.2018-13:49:00,10
423,108,2,01.06.2018-13:50:00,10
424,108,4,30.08.2018-15:40:00,10
425,109,21,16.01.2018-10:17:00,10
426,109,2,19.01.2018-12:31:00,10
427,109,3,24.01.2018-13:26:00,10
428,109,4,26.04.2018-11:13:00,10
429,110,1,26.05.2018-09:30:00,9
430,110,24,29.05.2018-09:51:00,9
431,110,15,01.08.2018-12:59:00,9
432,110,16,16.11.2018-16:42:00,9
433,111,2,14.06.2018-10:01:00,9
434,111,3,01.08.2018-12:12:00,9
435,111,4,28.09.2018-10:28:00,9
436,112,1,22.01.2018-10:19:00,7
437,112,3,10.07.2018-09:31:00,7
438,112,4,10.07.2018-15:00:00,7
439,113,1,16.02.2018-11:41:00,7
440,113,3,13.03.2018-11:24:00,7
441,113,4,05.04.2018-15:51:00,7
442,114,1,16.08.2018-13:13:00,10
443,114,17,08.10.2018-15:47:00,10
444,114,2,09.10.2018-07:14:00,10
445,114,3,01.11.2018-12:22:00,10
446,114,10,14.11.2018-11:22:00,10
447,114,4,10.01.2019-15:43:00,10
448,115,1,10.07.2018-15:02:00,16
449,115,2,16.07.2018-06:48:00,16
450,116,1,19.03.2018-18:16:00,10
451,116,15,19.03.2018-18:22:00,10
452,116,15,20.03.2018-14:35:00,10
453,116,2,05.04.2018-12:38:00,10
454,116,3,25.05.2018-11:23:00,10
455,116,4,26.07.2018-18:06:00,10
456,117,1,20.09.2018-10:34:00,10
457,117,2,11.10.2018-19:41:00,10
458,117,3,18.10.2018-12:11:00,10
459,118,1,21.11.2018-11:18:00,11
460,118,2,22.11.2018-08:21:00,11
461,118,3,23.11.2018-10:39:00,11
462,118,4,11.12.2018-12:05:00,11
463,119,1,16.03.2018-07:45:00,9
464,119,2,21.03.2018-17:50:00,9
465,119,3,17.04.2018-12:59:00,9
466,119,4,09.05.2018-14:10:00,9
467,120,28,19.09.2018-00:00:00,7
468,120,1,19.09.2018-08:02:00,7
469,120,2,21.09.2018-07:49:00,7
470,120,3,21.09.2018-17:10:00,7
471,120,4,11.10.2018-13:46:00,7
472,121,1,03.07.2018-11:00:00,10
473,121,21,03.07.2018-11:15:00,10
474,121,2,12.07.2018-13:41:00,10
475,121,3,08.08.2018-12:06:00,10
476,121,10,27.09.2018-10:37:00,10
477,121,4,28.09.2018-10:27:00,10
478,122,1,05.03.2018-09:31:00,7
479,122,2,15.03.2018-17:17:00,7
480,122,3,04.05.2018-16:55:00,7
481,122,4,24.05.2018-13:33:00,7
482,123,1,15.08.2018-11:16:00,10
483,123,2,31.08.2018-07:16:00,10
484,123,3,31.08.2018-09:02:00,10
485,123,4,29.11.2018-16:14:00,10
486,124,1,22.05.2018-10:57:00,10
487,124,2,30.05.2018-21:58:00,10
488,124,3,01.06.2018-13:10:00,10
489,124,4,19.07.2018-13:16:00,10
490,125,1,06.02.2018-09:45:00,10
491,125,2,15.02.2018-17:27:00,10
492,125,4,24.05.2018-13:34:00,10
493,126,1,05.02.2018-11:11:00,16
494,126,21,05.02.2018-11:16:00,16
495,126,2,14.02.2018-11:11:00,16
496,126,10,17.02.2018-05:56:00,16
497,126,4,26.04.2018-11:14:00,16
498,127,1,11.07.2018-16:48:00,10
499,127,2,28.08.2018-19:46:00,10
500,128,1,08.11.2018-20:45:00,10
501,128,3,29.11.2018-12:25:00,10
502,128,10,06.12.2018-13:19:00,10
503,129,1,16.08.2018-11:00:00,4
504,129,3,26.09.2018-15:54:00,4
505,129,4,26.10.2018-11:04:00,4
506,130,28,01.10.2018-00:00:00,7
507,130,1,01.10.2018-09:57:00,7
508,131,2,31.05.2018-10:51:00,10
509,131,3,08.06.2018-13:51:00,10
510,131,4,30.08.2018-15:36:00,10
511,132,1,06.11.2018-14:00:00,10
512,132,17,20.11.2018-15:10:00,10
513,132,2,23.11.2018-08:24:00,10
514,132,3,26.11.2018-14:57:00,10
515,133,1,09.07.2018-10:52:00,10
516,133,2,31.07.2018-12:12:00,10
517,134,1,31.07.2018-08:12:00,10
518,134,15,02.08.2018-08:43:00,10
519,134,3,21.09.2018-15:14:00,10
520,134,4,29.11.2018-16:13:00,10
521,135,1,28.06.2018-10:29:00,10
522,135,21,28.06.2018-13:00:00,10
523,135,2,04.07.2018-13:58:00,10
524,135,3,07.07.2018-07:32:00,10
525,135,10,27.09.2018-10:37:00,10
526,135,4,28.09.2018-10:27:00,10
527,136,1,10.12.2018-23:47:00,10
528,137,1,11.06.2018-13:41:00,10
529,137,2,04.07.2018-15:55:00,10
530,137,3,07.07.2018-08:26:00,10
531,137,4,06.09.2018-14:06:00,10
532,138,1,20.11.2018-09:38:00,8
533,138,24,20.11.2018-12:54:00,8
534,138,3,21.11.2018-11:19:00,8
535,138,24,10.01.2019-09:17:00,8
536,138,24,10.01.2019-09:44:00,8
537,139,1,08.05.2018-08:29:00,4
538,139,2,11.05.2018-07:25:00,4
539,139,3,18.06.2018-17:56:00,4
540,139,4,05.07.2018-14:12:00,4
541,140,1,10.05.2018-15:25:00,10
542,140,2,22.06.2018-08:06:00,10
543,140,3,24.10.2018-16:10:00,10
544,140,4,26.10.2018-11:03:00,10
545,141,1,08.01.2018-16:55:00,9
546,141,15,26.02.2018-07:28:00,9
547,141,15,26.02.2018-12:45:00,9
548,141,3,18.07.2018-10:13:00,9
549,141,4,19.07.2018-13:16:00,9
550,142,1,18.10.2018-17:20:00,11
551,142,2,13.12.2018-13:08:00,11
552,142,3,28.12.2018-16:15:00,11
553,143,28,04.09.2018-00:00:00,7
554,143,1,04.09.2018-09:08:00,7
555,143,2,10.09.2018-07:35:00,7
556,143,3,10.10.2018-14:16:00,7
557,143,4,01.11.2018-16:26:00,7
558,144,21,10.08.2018-11:21:00,10
559,144,2,15.08.2018-09:50:00,10
560,144,3,16.08.2018-14:38:00,10
561,144,4,29.11.2018-16:15:00,10
562,145,1,23.08.2018-11:38:00,10
563,145,2,04.09.2018-12:34:00,10
564,145,3,05.09.2018-09:42:00,10
565,145,4,04.10.2018-16:48:00,10
566,146,1,12.02.2018-07:33:00,7
567,146,2,13.02.2018-17:38:00,7
568,146,3,16.02.2018-09:58:00,7
569,146,4,29.03.2018-15:06:00,7
570,147,21,27.08.2018-08:03:00,10
571,147,2,31.08.2018-14:08:00,10
572,147,3,14.09.2018-11:41:00,10
573,147,4,08.11.2018-16:44:00,10
574,148,1,08.02.2018-09:23:00,7
575,148,2,13.02.2018-07:43:00,7
576,148,3,13.02.2018-15:21:00,7
577,148,4,01.03.2018-14:06:00,7
578,149,28,22.10.2018-00:00:00,7
579,149,1,22.10.2018-08:17:00,7
580,149,2,23.10.2018-17:46:00,7
581,149,3,24.10.2018-12:35:00,7
582,149,4,15.11.2018-15:34:00,7
583,150,1,30.08.2018-08:26:00,7
584,150,2,05.09.2018-10:26:00,7
585,150,3,02.10.2018-10:16:00,7
586,150,4,26.10.2018-11:01:00,7
587,151,3,24.04.2018-16:18:00,5
588,151,4,07.06.2018-13:13:00,5
589,152,1,21.12.2018-08:18:00,9
590,152,2,07.01.2019-08:12:00,9
591,153,1,06.03.2018-10:18:00,10
592,153,3,22.03.2018-11:14:00,10
593,153,2,22.03.2018-16:30:00,10
594,153,4,05.07.2018-14:10:00,10
595,154,1,10.09.2018-10:47:00,9
596,154,17,02.11.2018-07:08:00,9
597,154,15,05.11.2018-14:36:00,9
598,154,2,06.11.2018-09:04:00,9
599,154,3,12.12.2018-13:52:00,9
600,154,10,14.12.2018-16:22:00,9
601,155,1,16.08.2018-13:49:00,10
602,155,3,16.10.2018-08:56:00,10
603,156,1,15.05.2018-11:49:00,10
604,156,2,23.05.2018-09:54:00,10
605,156,3,29.05.2018-17:10:00,10
606,156,4,30.08.2018-15:39:00,10
607,157,1,20.08.2018-13:10:00,10
608,157,2,03.09.2018-13:59:00,10
609,157,3,11.09.2018-09:02:00,10
610,157,4,07.12.2018-09:04:00,10
611,158,1,11.01.2018-10:02:00,11
612,158,2,22.01.2018-09:53:00,11
613,159,1,25.07.2018-14:35:00,10
614,159,2,06.08.2018-15:32:00,10
615,159,3,05.09.2018-12:13:00,10
616,159,4,28.09.2018-10:26:00,10
617,160,1,21.08.2018-16:11:00,0
618,160,2,21.08.2018-16:12:00,0
619,161,1,17.07.2018-09:44:00,10
620,161,2,01.08.2018-14:32:00,10
621,161,3,06.08.2018-17:44:00,10
622,161,10,07.08.2018-16:57:00,10
623,161,4,08.11.2018-16:43:00,10
624,162,1,20.09.2018-11:45:00,9
625,162,3,18.10.2018-06:19:00,9
626,162,4,01.11.2018-16:26:00,9
627,163,1,27.06.2018-14:17:00,6
628,163,3,26.07.2018-12:44:00,6
629,163,2,31.07.2018-14:14:00,6
630,163,4,04.10.2018-16:48:00,6
631,164,1,27.08.2018-17:00:00,10
632,164,2,12.09.2018-13:01:00,10
633,164,3,18.09.2018-14:04:00,10
634,164,10,13.12.2018-08:03:00,10
635,165,1,08.05.2018-08:37:00,7
636,165,2,18.05.2018-10:40:00,7
637,165,3,12.07.2018-17:10:00,7
638,165,4,26.07.2018-18:07:00,7
639,166,1,22.10.2018-13:11:00,10
640,166,2,08.11.2018-13:50:00,10
641,166,3,11.12.2018-13:29:00,10
642,166,10,14.12.2018-16:22:00,10
643,167,1,28.06.2018-10:28:00,10
644,167,21,28.06.2018-11:03:00,10
645,167,2,09.07.2018-16:34:00,10
646,167,3,21.07.2018-08:03:00,10
647,167,4,04.10.2018-16:49:00,10
648,168,1,01.11.2018-15:54:00,16
649,168,21,02.11.2018-16:37:00,16
650,168,2,27.11.2018-12:44:00,16
651,168,3,05.12.2018-14:03:00,16
652,168,4,10.12.2018-11:18:00,16
653,169,28,20.11.2018-00:00:00,10
654,169,1,20.11.2018-10:55:00,10
655,169,2,28.11.2018-12:18:00,10
656,169,3,05.12.2018-10:28:00,10
657,170,2,28.02.2018-08:50:00,5
658,170,1,28.02.2018-08:50:00,5
659,170,3,09.03.2018-16:41:00,5
660,170,4,29.03.2018-15:11:00,5
661,171,1,31.01.2018-11:11:00,10
662,171,21,31.01.2018-11:33:00,10
