Case ID,Activity,Complete Timestamp
Case10,Closed,2010-04-03T07:47:38.000+03:00
Case11,Assign seriousness,2011-12-21T15:24:41.000+02:00
Case11,Take in charge ticket,2011-12-21T15:25:34.000+02:00
Case11,Resolve ticket,2011-12-22T09:55:43.000+02:00
Case11,Closed,2012-01-21T15:30:31.000+02:00
Case12,Assign seriousness,2013-03-18T10:47:34.000+02:00
Case12,Take in charge ticket,2013-03-18T15:03:49.000+02:00
Case12,Resolve ticket,2013-04-03T07:13:38.000+03:00
Case12,Closed,2013-04-18T07:13:53.000+03:00
Case13,Assign seriousness,2012-12-17T09:47:49.000+02:00
Case13,Take in charge ticket,2013-01-02T09:22:43.000+02:00
Case13,Resolve ticket,2013-01-04T10:29:36.000+02:00
Case13,Closed,2013-01-19T10:29:51.000+02:00
Case14,Assign seriousness,2011-07-05T13:47:08.000+03:00
Case14,Take in charge ticket,2011-07-05T13:47:22.000+03:00
Case14,Resolve ticket,2011-07-05T13:52:37.000+03:00
Case14,Closed,2011-08-05T13:50:21.000+03:00
Case15,Assign seriousness,2013-02-20T09:58:27.000+02:00
Case15,Assign seriousness,2013-03-08T08:25:42.000+02:00
Case15,Take in charge ticket,2013-03-08T08:30:43.000+02:00
Case15,Resolve ticket,2013-03-08T08:34:08.000+02:00
Case15,Closed,2013-03-23T08:34:25.000+02:00
Case16,Assign seriousness,2012-02-22T14:16:52.000+02:00
Case16,Take in charge ticket,2012-02-22T16:14:07.000+02:00
Case16,Take in charge ticket,2012-02-22T16:23:57.000+02:00
Case16,Resolve ticket,2012-02-23T09:47:38.000+02:00
Case16,Closed,2012-03-24T14:20:19.000+02:00
Case17,Assign seriousness,2011-10-14T07:10:47.000+03:00
Case17,Take in charge ticket,2011-11-02T16:17:52.000+02:00
Case17,Resolve ticket,2011-11-09T13:31:37.000+02:00
Case17,Closed,2011-11-24T15:57:55.000+02:00
Case18,Assign seriousness,2013-03-01T16:06:11.000+02:00
Case18,Take in charge ticket,2013-03-18T14:04:03.000+02:00
Case18,Resolve ticket,2013-03-19T10:22:40.000+02:00
Case18,Resolve ticket,2013-03-19T10:22:40.000+02:00
Case18,Closed,2013-04-03T09:23:01.000+03:00
Case19,Assign seriousness,2010-07-07T07:54:04.000+03:00
Case19,Take in charge ticket,2010-07-09T10:10:52.000+03:00
Case19,Resolve ticket,2010-07-09T10:11:18.000+03:00
Case19,Closed,2010-08-07T08:00:22.000+03:00
Case20,Assign seriousness,2013-05-09T07:10:37.000+03:00
Case20,Take in charge ticket,2013-06-04T13:33:01.000+03:00
Case20,Wait,2013-06-10T09:06:43.000+03:00
Case20,Resolve ticket,2013-06-19T09:12:02.000+03:00
Case20,Closed,2013-07-04T09:12:15.000+03:00
Case21,Assign seriousness,2011-01-14T15:15:21.000+02:00
Case21,Take in charge ticket,2011-01-27T08:06:37.000+02:00
Case21,Resolve ticket,2011-01-27T10:19:15.000+02:00
Case21,Closed,2011-02-26T10:19:37.000+02:00
Case22,Assign seriousness,2012-07-23T07:49:04.000+03:00
Case22,Take in charge ticket,2012-07-23T07:49:14.000+03:00
Case22,Wait,2012-07-23T08:51:59.000+03:00
Case22,Resolve ticket,2012-08-27T10:05:23.000+03:00
Case22,Closed,2012-09-11T10:05:33.000+03:00
Case23,Assign seriousness,2012-12-19T16:33:23.000+02:00
Case23,Take in charge ticket,2013-01-03T08:26:14.000+02:00
Case23,Resolve ticket,2013-01-22T15:50:53.000+02:00
Case23,Closed,2013-02-06T15:51:06.000+02:00
Case24,Assign seriousness,2010-04-27T09:49:56.000+03:00
Case24,Take in charge ticket,2010-06-08T11:06:56.000+03:00
Case24,Resolve ticket,2010-06-08T14:46:16.000+03:00
Case24,Closed,2010-06-23T14:46:28.000+03:00
Case25,Assign seriousness,2010-12-30T09:27:17.000+02:00
Case25,Take in charge ticket,2010-12-30T13:14:04.000+02:00
Case25,Resolve ticket,2010-12-30T15:16:35.000+02:00
Case25,Closed,2011-02-16T09:30:28.000+02:00
Case26,Assign seriousness,2011-03-31T07:28:47.000+03:00
Case26,Take in charge ticket,2011-03-31T07:31:59.000+03:00
Case26,Wait,2011-03-31T08:39:41.000+03:00
Case26,Take in charge ticket,2011-03-31T11:00:28.000+03:00
Case26,Resolve ticket,2011-03-31T11:00:41.000+03:00
Case26,Closed,2011-05-05T09:50:46.000+03:00
Case27,Assign seriousness,2011-11-24T14:02:16.000+02:00
Case27,Take in charge ticket,2011-11-24T14:02:35.000+02:00
Case27,Resolve ticket,2011-12-12T09:04:47.000+02:00
Case27,Closed,2011-12-27T09:05:04.000+02:00
Case28,Assign seriousness,2013-10-25T15:53:59.000+03:00
Case28,Take in charge ticket,2013-10-25T15:54:05.000+03:00
Case28,Create SW anomaly,2013-10-25T15:54:12.000+03:00
Case28,Require upgrade,2013-10-25T15:54:23.000+03:00
Case28,Require upgrade,2013-11-14T15:55:48.000+02:00
Case28,Resolve ticket,2013-12-23T08:08:05.000+02:00
Case29,Assign seriousness,2012-07-30T10:07:32.000+03:00
Case29,Take in charge ticket,2012-07-30T10:07:40.000+03:00
Case29,Resolve ticket,2012-07-30T12:29:40.000+03:00
Case29,Closed,2012-09-14T10:10:38.000+03:00
Case30,Assign seriousness,2011-01-21T09:47:20.000+02:00
Case30,Take in charge ticket,2011-02-07T09:19:45.000+02:00
Case30,Resolve ticket,2011-02-10T09:01:20.000+02:00
Case30,Closed,2011-02-25T09:01:35.000+02:00
Case31,Assign seriousness,2013-04-15T12:41:20.000+03:00
Case31,Take in charge ticket,2013-04-18T07:06:11.000+03:00
Case31,Create SW anomaly,2013-04-18T07:18:02.000+03:00
Case31,Require upgrade,2013-04-18T07:18:23.000+03:00
Case31,Resolve ticket,2013-05-15T13:30:39.000+03:00
Case31,Closed,2013-05-30T13:31:00.000+03:00
Case32,Assign seriousness,2011-04-27T07:38:44.000+03:00
Case32,Take in charge ticket,2011-04-27T12:46:13.000+03:00
Case32,Resolve ticket,2011-04-28T08:18:08.000+03:00
Case32,Closed,2011-06-04T07:40:30.000+03:00
Case33,Assign seriousness,2013-04-29T13:22:48.000+03:00
Case33,Take in charge ticket,2013-05-14T14:53:46.000+03:00
Case33,Resolve ticket,2013-05-15T10:19:05.000+03:00
Case33,Closed,2013-05-30T10:19:20.000+03:00
Case34,Assign seriousness,2013-06-11T13:56:40.000+03:00
Case34,Take in charge ticket,2013-06-25T10:42:45.000+03:00
Case34,Wait,2013-06-25T10:43:50.000+03:00
Case34,Wait,2013-06-26T13:27:04.000+03:00
Case34,Resolve ticket,2013-07-05T10:18:32.000+03:00
Case34,Closed,2013-07-20T10:18:42.000+03:00
Case35,Assign seriousness,2012-01-18T08:15:30.000+02:00
Case35,Resolve ticket,2012-01-18T09:46:37.000+02:00
Case35,Closed,2012-03-10T08:20:43.000+02:00
Case36,Assign seriousness,2011-06-29T10:06:48.000+03:00
Case36,Take in charge ticket,2011-06-30T12:58:23.000+03:00
Case36,Resolve ticket,2011-07-05T07:32:43.000+03:00
Case36,Closed,2011-07-30T10:10:20.000+03:00
Case37,Assign seriousness,2011-02-10T11:13:07.000+02:00
Case37,Take in charge ticket,2011-02-10T11:13:33.000+02:00
Case37,Resolve ticket,2011-02-10T15:20:02.000+02:00
Case37,Resolve ticket,2011-03-02T13:23:58.000+02:00
Case37,Take in charge ticket,2011-03-02T13:24:07.000+02:00
Case37,Wait,2011-03-02T15:27:52.000+02:00
Case37,Take in charge ticket,2011-03-04T09:37:50.000+02:00
Case37,Resolve ticket,2011-03-04T09:37:55.000+02:00
Case37,Closed,2011-04-03T08:38:21.000+03:00
Case38,Assign seriousness,2012-03-20T07:57:45.000+02:00
Case38,Take in charge ticket,2012-03-20T07:58:15.000+02:00
Case38,Resolve ticket,2012-03-20T08:18:56.000+02:00
Case38,Closed,2012-04-21T16:00:36.000+03:00
Case39,Assign seriousness,2013-08-29T11:05:59.000+03:00
Case39,Take in charge ticket,2013-09-11T12:57:48.000+03:00
Case39,Wait,2013-09-12T09:46:36.000+03:00
Case39,Resolve ticket,2013-09-27T09:50:58.000+03:00
Case39,Closed,2013-10-12T09:51:11.000+03:00
Case40,Assign seriousness,2012-08-09T12:13:03.000+03:00
Case40,Take in charge ticket,2012-08-09T12:13:29.000+03:00
Case40,Resolve ticket,2012-08-09T12:46:00.000+03:00
Case40,Closed,2012-09-12T12:20:25.000+03:00
Case41,Assign seriousness,2010-12-14T10:44:26.000+02:00
Case41,Take in charge ticket,2010-12-14T10:44:57.000+02:00
Case41,Resolve ticket,2010-12-14T10:45:12.000+02:00
Case41,Closed,2011-01-27T10:50:31.000+02:00
Case42,Assign seriousness,2011-06-16T12:23:39.000+03:00
Case42,Take in charge ticket,2011-06-16T12:51:05.000+03:00
Case42,Resolve ticket,2011-06-16T13:39:51.000+03:00
Case42,Closed,2011-07-30T12:30:33.000+03:00
Case43,Assign seriousness,2012-04-10T08:56:32.000+03:00
Case43,Take in charge ticket,2012-04-10T09:27:27.000+03:00
Case43,Resolve ticket,2012-04-10T10:53:28.000+03:00
Case43,Closed,2012-05-26T09:00:20.000+03:00
Case44,Assign seriousness,2010-11-29T16:09:19.000+02:00
Case44,Take in charge ticket,2010-11-29T16:19:59.000+02:00
Case44,Resolve ticket,2010-11-29T16:20:51.000+02:00
Case44,Closed,2010-12-31T16:10:28.000+02:00
Case45,Assign seriousness,2012-01-20T14:08:14.000+02:00
Case45,Take in charge ticket,2012-01-25T11:46:19.000+02:00
Case45,Resolve ticket,2012-03-02T10:40:59.000+02:00
Case45,Closed,2012-03-17T10:41:18.000+02:00
Case46,Assign seriousness,2012-11-14T14:33:17.000+02:00
Case46,Take in charge ticket,2012-11-15T13:33:28.000+02:00
Case46,Take in charge ticket,2012-11-15T13:33:59.000+02:00
Case46,Wait,2012-11-16T11:37:21.000+02:00
Case46,Resolve ticket,2012-12-14T14:20:49.000+02:00
Case46,Closed,2012-12-29T14:21:03.000+02:00
Case47,Assign seriousness,2011-05-25T09:48:18.000+03:00
Case47,Take in charge ticket,2011-05-25T09:48:43.000+03:00
Case47,Resolve ticket,2011-05-30T15:04:34.000+03:00
Case47,Closed,2011-07-01T09:50:37.000+03:00
Case48,Insert ticket,2010-12-01T13:42:59.000+02:00
Case48,Assign seriousness,2010-12-02T14:07:33.000+02:00
Case48,Take in charge ticket,2010-12-02T14:07:41.000+02:00
Case48,Resolve ticket,2010-12-02T14:08:33.000+02:00
Case48,Closed,2011-01-01T14:08:51.000+02:00
Case49,Assign seriousness,2011-11-25T14:33:54.000+02:00
Case49,Take in charge ticket,2011-11-25T14:47:48.000+02:00
Case49,Wait,2011-11-29T14:47:35.000+02:00
Case49,Resolve ticket,2011-12-02T16:25:57.000+02:00
Case49,Closed,2012-01-07T16:20:26.000+02:00
Case50,Assign seriousness,2012-01-16T10:53:01.000+02:00
Case50,Take in charge ticket,2012-01-16T10:59:51.000+02:00
Case50,Resolve ticket,2012-01-16T16:37:54.000+02:00
Case50,Resolve ticket,2012-01-16T16:37:55.000+02:00
Case50,Closed,2012-02-16T11:00:57.000+02:00
Case51,Assign seriousness,2012-06-13T13:55:36.000+03:00
Case51,Take in charge ticket,2012-06-14T07:07:06.000+03:00
Case51,Wait,2012-06-15T07:16:27.000+03:00
Case51,Resolve ticket,2012-07-02T09:41:04.000+03:00
Case51,Closed,2012-07-18T07:30:21.000+03:00
Case52,Assign seriousness,2012-07-26T15:18:26.000+03:00
Case52,Take in charge ticket,2012-07-26T15:18:35.000+03:00
Case52,Resolve ticket,2012-07-27T10:46:28.000+03:00
Case52,Closed,2012-09-12T15:20:55.000+03:00
Case53,Assign seriousness,2010-10-14T13:53:13.000+03:00
Case53,Take in charge ticket,2010-10-15T13:02:36.000+03:00
Case53,Wait,2010-10-28T15:12:55.000+03:00
Case53,Wait,2010-10-28T15:12:55.000+03:00
Case53,Take in charge ticket,2010-10-29T13:42:01.000+03:00
Case53,Resolve ticket,2010-11-04T08:48:12.000+02:00
Case53,Closed,2010-12-04T08:48:57.000+02:00
Case54,Assign seriousness,2013-11-07T08:20:59.000+02:00
Case54,Take in charge ticket,2013-11-29T09:10:50.000+02:00
Case54,Resolve ticket,2013-12-02T16:14:22.000+02:00
Case54,Closed,2013-12-17T16:14:40.000+02:00
Case55,Assign seriousness,2011-10-26T15:51:42.000+03:00
Case55,Take in charge ticket,2011-10-31T15:19:03.000+02:00
Case55,Wait,2011-11-07T08:44:52.000+02:00
Case55,Resolve ticket,2011-11-21T08:21:23.000+02:00
Case55,Closed,2011-12-06T08:21:36.000+02:00
Case56,Assign seriousness,2012-01-30T11:32:58.000+02:00
Case56,Resolve ticket,2012-01-30T11:33:23.000+02:00
Case56,Closed,2012-03-14T11:40:25.000+02:00
Case57,Assign seriousness,2010-10-29T09:39:23.000+03:00
Case57,Take in charge ticket,2010-11-02T14:56:13.000+02:00
Case57,Resolve ticket,2010-11-02T15:39:05.000+02:00
Case57,Closed,2010-11-30T10:40:55.000+02:00
Case58,Assign seriousness,2012-11-16T15:49:30.000+02:00
Case58,Create SW anomaly,2012-11-16T15:49:51.000+02:00
Case58,Require upgrade,2012-11-28T13:50:07.000+02:00
Case58,Resolve ticket,2012-12-17T09:55:05.000+02:00
Case58,Closed,2013-01-01T09:55:26.000+02:00
Case59,Assign seriousness,2012-03-28T12:28:37.000+03:00
Case59,Take in charge ticket,2012-03-28T12:28:47.000+03:00
Case59,Resolve ticket,2012-03-28T15:32:57.000+03:00
Case59,Resolve ticket,2012-03-28T15:32:57.000+03:00
Case59,Closed,2012-04-28T12:30:17.000+03:00
Case60,Assign seriousness,2011-04-06T15:35:49.000+03:00
Case60,Take in charge ticket,2011-04-06T15:36:04.000+03:00
Case60,Wait,2011-04-07T15:41:23.000+03:00
Case60,Take in charge ticket,2011-04-13T08:49:14.000+03:00
Case60,Resolve ticket,2011-04-13T08:49:22.000+03:00
Case60,Closed,2011-05-28T08:50:26.000+03:00
Case61,Assign seriousness,2011-09-16T07:04:39.000+03:00
Case61,Take in charge ticket,2011-09-16T07:18:12.000+03:00
Case61,Resolve ticket,2011-09-16T15:04:46.000+03:00
Case61,Closed,2011-11-10T08:10:45.000+02:00
Case62,Assign seriousness,2012-05-28T15:16:47.000+03:00
Case62,Resolve ticket,2012-05-28T15:18:27.000+03:00
Case62,Closed,2012-07-26T15:20:39.000+03:00
Case63,Assign seriousness,2013-03-06T15:05:09.000+02:00
Case63,Take in charge ticket,2013-03-22T08:58:01.000+02:00
Case63,Resolve ticket,2013-03-22T09:34:16.000+02:00
Case63,Closed,2013-04-06T08:34:35.000+03:00
Case64,Assign seriousness,2011-04-14T15:54:28.000+03:00
Case64,Assign seriousness,2011-04-14T15:54:46.000+03:00
Case64,Wait,2011-04-15T10:41:19.000+03:00
Case64,Take in charge ticket,2011-04-27T10:30:04.000+03:00
Case64,Wait,2011-04-27T10:30:13.000+03:00
Case64,Take in charge ticket,2011-05-06T09:42:13.000+03:00
Case64,Resolve ticket,2011-05-06T09:42:28.000+03:00
Case64,Closed,2011-05-21T09:42:52.000+03:00
Case65,Assign seriousness,2013-02-13T13:41:45.000+02:00
Case65,Take in charge ticket,2013-03-01T09:23:38.000+02:00
Case65,Wait,2013-03-01T10:14:20.000+02:00
Case65,Resolve ticket,2013-03-01T16:01:20.000+02:00
Case65,Closed,2013-03-16T16:01:36.000+02:00
Case66,Assign seriousness,2012-06-26T08:46:53.000+03:00
Case66,Take in charge ticket,2012-06-26T08:47:39.000+03:00
Case66,Resolve ticket,2012-06-26T13:05:58.000+03:00
Case66,Closed,2012-08-24T15:42:30.000+03:00
Case67,Assign seriousness,2010-12-30T15:03:15.000+02:00
Case67,Take in charge ticket,2011-01-11T08:40:08.000+02:00
Case67,Resolve ticket,2011-01-13T11:45:18.000+02:00
Case67,Closed,2011-02-12T15:10:46.000+02:00
Case68,Assign seriousness,2012-04-11T14:09:22.000+03:00
Case68,Take in charge ticket,2012-04-11T14:09:45.000+03:00
Case68,Resolve ticket,2012-04-12T10:31:37.000+03:00
Case68,Closed,2012-05-12T14:10:23.000+03:00
Case69,Assign seriousness,2013-04-05T08:30:22.000+03:00
Case69,Take in charge ticket,2013-04-30T13:27:21.000+03:00
Case69,Resolve ticket,2013-04-30T13:32:43.000+03:00
Case69,Closed,2013-05-15T13:32:57.000+03:00
Case70,Assign seriousness,2011-06-07T07:34:53.000+03:00
Case70,Take in charge ticket,2011-06-07T07:35:14.000+03:00
Case70,Wait,2011-07-08T08:44:58.000+03:00
Case70,Resolve ticket,2011-07-12T07:00:36.000+03:00
Case70,Closed,2011-07-27T07:01:03.000+03:00
Case71,Assign seriousness,2011-11-02T08:20:14.000+02:00
Case71,Take in charge ticket,2011-11-02T08:20:41.000+02:00
Case71,Resolve ticket,2011-11-02T09:49:41.000+02:00
Case71,Closed,2011-12-07T08:30:27.000+02:00
Case72,Assign seriousness,2011-01-25T13:15:31.000+02:00
Case72,Take in charge ticket,2011-01-25T13:15:58.000+02:00
Case72,Resolve ticket,2011-02-14T11:48:42.000+02:00
Case72,Closed,2011-03-01T11:48:59.000+02:00
Case73,Assign seriousness,2012-07-31T11:01:15.000+03:00
Case73,Resolve ticket,2012-07-31T11:02:02.000+03:00
Case73,Closed,2012-09-07T11:00:40.000+03:00
Case74,Resolve ticket,2012-02-10T11:42:26.000+02:00
Case74,Closed,2012-04-10T09:32:49.000+03:00
Case75,Assign seriousness,2010-03-11T15:15:54.000+02:00
Case75,Assign seriousness,2010-04-23T07:44:51.000+03:00
Case75,Take in charge ticket,2010-04-23T07:44:59.000+03:00
Case75,Resolve ticket,2010-04-23T07:45:04.000+03:00
Case75,Closed,2010-05-08T07:45:21.000+03:00
Case76,Assign seriousness,2012-01-10T15:01:36.000+02:00
Case76,Resolve ticket,2012-01-10T15:58:08.000+02:00
Case76,Closed,2012-02-25T15:10:39.000+02:00
Case77,Assign seriousness,2013-09-25T13:32:38.000+03:00
Case77,Take in charge ticket,2013-09-25T13:33:02.000+03:00
Case77,Wait,2013-09-25T14:29:45.000+03:00
Case77,Resolve ticket,2013-10-21T15:09:58.000+03:00
Case77,Closed,2013-11-05T16:10:14.000+02:00
Case78,Assign seriousness,2011-11-08T09:18:10.000+02:00
Case78,Take in charge ticket,2011-11-08T09:22:35.000+02:00
Case78,Resolve ticket,2011-12-05T16:33:12.000+02:00
Case78,Closed,2011-12-20T16:33:29.000+02:00
Case79,Assign seriousness,2013-10-03T07:22:55.000+03:00
Case79,Take in charge ticket,2013-10-04T09:08:21.000+03:00
Case79,Wait,2013-10-07T13:20:44.000+03:00
Case79,Wait,2013-10-09T07:36:41.000+03:00
Case79,Resolve ticket,2013-11-08T09:26:35.000+02:00
Case79,Closed,2013-11-23T09:26:49.000+02:00
Case80,Assign seriousness,2012-08-02T09:22:58.000+03:00
Case80,Take in charge ticket,2012-08-03T12:12:15.000+03:00
Case80,Resolve ticket,2012-08-10T10:13:48.000+03:00
Case80,Closed,2012-09-09T10:14:13.000+03:00
Case81,Assign seriousness,2010-02-09T08:31:47.000+02:00
Case81,Take in charge ticket,2010-02-09T08:35:12.000+02:00
Case81,Wait,2010-02-09T08:35:26.000+02:00
Case81,Wait,2010-02-09T08:36:27.000+02:00
Case81,Take in charge ticket,2010-02-19T08:31:40.000+02:00
Case81,Resolve ticket,2010-02-19T08:32:00.000+02:00
Case81,Closed,2010-04-09T07:40:43.000+03:00
Case82,Assign seriousness,2013-10-31T14:55:24.000+02:00
Case82,Take in charge ticket,2013-10-31T15:04:25.000+02:00
Case82,Wait,2013-11-05T14:35:43.000+02:00
Case82,Resolve ticket,2013-11-19T16:09:52.000+02:00
Case82,Closed,2013-12-04T16:10:09.000+02:00
Case83,Assign seriousness,2013-07-16T14:19:52.000+03:00
Case83,Take in charge ticket,2013-07-23T08:59:56.000+03:00
Case83,Wait,2013-07-24T08:11:00.000+03:00
Case83,Resolve ticket,2013-08-19T15:22:57.000+03:00
Case83,Closed,2013-09-03T15:23:13.000+03:00
Case84,Assign seriousness,2010-12-10T09:15:54.000+02:00
Case84,Take in charge ticket,2010-12-10T09:16:17.000+02:00
Case84,Resolve ticket,2010-12-10T09:16:34.000+02:00
Case84,Closed,2011-01-12T09:20:47.000+02:00
Case85,Assign seriousness,2011-02-24T17:01:50.000+02:00
Case85,Take in charge ticket,2011-02-24T17:03:45.000+02:00
Case85,Resolve ticket,2011-03-04T10:02:13.000+02:00
Case85,Closed,2011-04-09T16:00:27.000+03:00
Case86,Assign seriousness,2012-06-12T16:12:48.000+03:00
Case86,Take in charge ticket,2012-06-15T07:27:33.000+03:00
Case86,Wait,2012-06-15T10:00:52.000+03:00
Case86,Resolve ticket,2012-06-18T09:42:02.000+03:00
Case86,Closed,2012-07-14T15:40:24.000+03:00
Case87,Assign seriousness,2011-11-14T14:35:55.000+02:00
Case87,Take in charge ticket,2011-11-17T16:58:30.000+02:00
Case87,Wait,2011-11-17T16:59:03.000+02:00
Case87,Resolve ticket,2011-11-25T09:30:07.000+02:00
Case87,Take in charge ticket,2011-11-28T13:50:35.000+02:00
Case87,Wait,2011-11-28T13:59:00.000+02:00
Case87,Resolve ticket,2011-12-07T13:41:18.000+02:00
Case87,Closed,2012-01-06T16:20:25.000+02:00
Case88,Assign seriousness,2010-09-24T07:57:49.000+03:00
Case88,Assign seriousness,2010-09-24T13:43:51.000+03:00
Case88,Wait,2010-09-24T13:44:52.000+03:00
Case88,Take in charge ticket,2010-10-04T10:48:54.000+03:00
Case88,Resolve ticket,2010-10-04T10:49:08.000+03:00
Case88,Closed,2010-11-03T11:49:30.000+02:00
Case89,Assign seriousness,2013-02-26T16:56:03.000+02:00
Case89,Take in charge ticket,2013-03-13T16:41:09.000+02:00
Case89,Resolve ticket,2013-03-14T15:26:52.000+02:00
Case89,Closed,2013-03-29T15:27:15.000+02:00
Case90,Assign seriousness,2010-03-16T07:59:03.000+02:00
Case90,Take in charge ticket,2010-03-17T09:02:03.000+02:00
Case90,Resolve ticket,2010-03-17T09:49:51.000+02:00
Case90,Closed,2010-04-21T16:00:28.000+03:00
Case91,Assign seriousness,2011-05-24T12:51:35.000+03:00
Case91,Take in charge ticket,2011-05-24T12:52:07.000+03:00
Case91,Resolve ticket,2011-05-24T13:36:11.000+03:00
Case91,Closed,2011-07-09T13:00:36.000+03:00
Case92,Assign seriousness,2010-03-09T10:09:33.000+02:00
Case92,Take in charge ticket,2010-03-09T10:09:44.000+02:00
Case92,Resolve ticket,2010-03-18T09:27:56.000+02:00
Case92,Closed,2010-05-02T08:28:46.000+03:00
Case93,Assign seriousness,2012-07-25T07:02:54.000+03:00
Case93,Take in charge ticket,2012-07-30T09:39:04.000+03:00
Case93,Resolve ticket,2012-08-02T15:14:07.000+03:00
Case93,Closed,2012-09-09T07:10:33.000+03:00
Case94,Assign seriousness,2012-02-08T08:33:56.000+02:00
Case94,Take in charge ticket,2012-02-08T08:34:08.000+02:00
Case94,Resolve ticket,2012-02-08T08:34:34.000+02:00
Case94,Closed,2012-04-07T07:42:34.000+03:00
Case95,Assign seriousness,2011-09-26T10:27:14.000+03:00
Case95,Take in charge ticket,2011-09-29T13:54:32.000+03:00
Case95,Resolve ticket,2011-09-30T09:09:23.000+03:00
Case95,Closed,2011-10-27T10:30:27.000+03:00
Case96,Assign seriousness,2012-02-27T16:31:32.000+02:00
Case96,Take in charge ticket,2012-02-28T08:52:59.000+02:00
Case96,Resolve ticket,2012-02-29T08:25:13.000+02:00
Case96,Resolve ticket,2012-02-29T08:25:14.000+02:00
Case96,Closed,2012-04-11T15:40:27.000+03:00
Case97,Assign seriousness,2013-04-02T12:26:52.000+03:00
Case97,Take in charge ticket,2013-04-05T16:14:03.000+03:00
Case97,Resolve ticket,2013-05-10T09:30:24.000+03:00
Case97,Closed,2013-05-25T09:30:42.000+03:00
Case98,Assign seriousness,2012-07-05T12:16:51.000+03:00
Case98,Take in charge ticket,2012-07-05T12:20:39.000+03:00
Case98,Resolve ticket,2012-07-09T13:21:24.000+03:00
Case98,Closed,2012-08-07T12:20:18.000+03:00
Case99,Assign seriousness,2011-05-11T10:16:32.000+03:00
Case99,Take in charge ticket,2011-05-11T10:17:55.000+03:00
Case99,Resolve ticket,2011-05-16T08:33:29.000+03:00
Case99,Closed,2011-06-11T10:20:27.000+03:00
Case100,Assign seriousness,2013-04-12T10:25:17.000+03:00
Case100,Take in charge ticket,2013-04-24T10:24:01.000+03:00
Case100,Require upgrade,2013-04-24T15:51:11.000+03:00
Case100,Resolve ticket,2013-05-15T13:21:00.000+03:00
Case100,Closed,2013-05-30T13:21:20.000+03:00
Case101,Insert ticket,2010-06-18T13:47:15.000+03:00
Case101,Assign seriousness,2010-06-18T14:18:15.000+03:00
Case101,Take in charge ticket,2010-06-29T07:35:47.000+03:00
Case101,Resolve ticket,2010-06-29T08:33:07.000+03:00
Case101,Closed,2010-08-05T13:50:24.000+03:00
Case102,Assign seriousness,2012-01-30T09:09:29.000+02:00
Case102,Take in charge ticket,2012-01-30T09:09:57.000+02:00
